Accession,Continent,Block,Dried_Biomass,Dried_Seed_Weight,Harvest_Index,Thousand_Seed_Weight,Flowering,Maturity,Flowering_to_Maturity,Site,Region
T001,Africa,Block7,595,,,1.52,47,91,44,Jeonju,Western Africa
T002,Africa,Block2,,,,,61,90,29,Jeonju,Western Africa
T003,Africa,Block1,235,37.56,0.16,1.65,47,91,44,Jeonju,Northern Africa
T004,Africa,Block3,,,,1.82,63,92,29,Jeonju,Northern Africa
T005,Africa,Block2,290,76.46,0.26,1.93,41,87,46,Jeonju,Northern Africa
T006,Africa,Block2,415,105.7,0.25,2.62,63,90,27,Jeonju,Northern Africa
T007,Africa,Block8,,,,2.48,40,87,47,Jeonju,Northern Africa
T008,Africa,Block7,,,,,45,91,46,Jeonju,Eastern Africa
T009,Africa,Block2,,,,2.88,42,86,44,Jeonju,Eastern Africa
T010,Africa,Block6,540,43.37,0.08,2.7,39,79,40,Jeonju,Eastern Africa
T011,Africa,Block4,,,,2.6,86,122,36,Jeonju,Northern Africa
T012,Africa,Block3,175,10.98,0.06,2.12,64,90,26,Jeonju,Northern Africa
T013,Africa,Block6,730,148.36,0.2,3.2,63,90,27,Jeonju,Northern Africa
T014,Africa,Block3,,,,2.16,41,88,47,Jeonju,Northern Africa
T015,Africa,Block5,280,,,3.92,86,124,38,Jeonju,Northern Africa
T016,Africa,Block2,270,,,3.5,84,122,38,Jeonju,Northern Africa
T017,Africa,Block8,485,83.88,0.17,2.99,43,91,48,Jeonju,Northern Africa
T018,Africa,Block5,,10.7,,2.88,86,124,38,Jeonju,Northern Africa
T019,Africa,Block8,,,,2.05,64,90,26,Jeonju,Northern Africa
T020,Africa,Block5,,,,,41,88,47,Jeonju,Northern Africa
T021,Africa,Block2,280,,,2.18,42,88,46,Jeonju,Northern Africa
T022,Africa,Block8,750,126.18,0.17,3.14,42,88,46,Jeonju,Northern Africa
T023,Africa,Block1,290,,,,42,90,48,Jeonju,Northern Africa
T024,Africa,Block2,650,40.09,0.06,2.46,41,88,47,Jeonju,Northern Africa
T025,Africa,Block2,600,,,,41,89,48,Jeonju,Northern Africa
T026,Africa,Block8,485,67.41,0.14,2.58,63,89,26,Jeonju,Northern Africa
T027,Africa,Block6,,28.03,,2.96,40,84,44,Jeonju,Northern Africa
T028,Africa,Block3,,,,,43,90,47,Jeonju,Northern Africa
T029,Africa,Block5,,,,2.26,54,89,35,Jeonju,Northern Africa
T030,Africa,Block5,,,,2.88,84,124,40,Jeonju,Northern Africa
T031,Africa,Block4,175,,,2.74,50,90,40,Jeonju,Northern Africa
T032,Africa,Block7,,37.66,,2.96,42,89,47,Jeonju,Northern Africa
T033,Africa,Block7,460,,,2.88,47,92,45,Jeonju,Northern Africa
T034,Africa,Block5,365,52.36,0.14,2.28,86,122,36,Jeonju,Northern Africa
T035,Africa,Block5,605,,,2.92,56,89,33,Jeonju,Northern Africa
T036,Africa,Block1,,17.8,,2.88,62,94,32,Jeonju,Northern Africa
T037,Africa,Block6,195,22.34,0.11,2.97,42,79,37,Jeonju,Northern Africa
T038,Africa,Block1,,23.38,,2.86,38,76,38,Jeonju,Northern Africa
T039,Africa,Block5,,,,3.22,63,90,27,Jeonju,Northern Africa
T040,Africa,Block3,535,,,2.3,86,124,38,Jeonju,Northern Africa
T041,Africa,Block5,590,85.01,0.14,2.24,44,89,45,Jeonju,Northern Africa
T042,Africa,Block1,355,17.8,0.05,2.36,44,89,45,Jeonju,Northern Africa
T043,Africa,Block4,250,9.2,0.04,2.9,38,76,38,Jeonju,Northern Africa
T044,Africa,Block3,,,,2.7,40,81,41,Jeonju,Northern Africa
T045,Africa,Block8,590,,,3.24,39,78,39,Jeonju,Northern Africa
T046,Africa,Block1,,,,2.46,97,131,34,Jeonju,Northern Africa
T047,Africa,Block5,,30.14,,2.82,42,79,37,Jeonju,Northern Africa
T048,Africa,Block6,440,,,2.88,47,88,41,Jeonju,Northern Africa
T049,Africa,Block1,,,,2.8,42,89,47,Jeonju,Northern Africa
T050,Africa,Block5,365,,,3.16,82,125,43,Jeonju,Northern Africa
T051,Africa,Block3,,,,2.12,47,89,42,Jeonju,Northern Africa
T052,Africa,Block3,270,52.09,0.19,1.81,84,125,41,Jeonju,Northern Africa
T053,Africa,Block3,235,19.25,0.08,2.76,41,82,41,Jeonju,Northern Africa
T054,Africa,Block4,,,,2.88,42,89,47,Jeonju,Northern Africa
T055,Africa,Block1,,,,2.6,42,85,43,Jeonju,Northern Africa
T056,Africa,Block7,,,,2.96,53,89,36,Jeonju,Northern Africa
T057,Africa,Block4,330,,,2.82,42,87,45,Jeonju,Northern Africa
T058,Africa,Block2,570,,,2.68,44,88,44,Jeonju,Northern Africa
T059,Africa,Block5,,,,3.68,42,92,50,Jeonju,Northern Africa
T060,Africa,Block4,235,41.59,0.18,3.68,93,128,35,Jeonju,Northern Africa
T061,Africa,Block4,690,43.57,0.06,2.82,68,92,24,Jeonju,Northern Africa
T062,Africa,Block8,,28.1,,3.26,42,93,51,Jeonju,Northern Africa
T063,Africa,Block3,410,,,1.74,44.5,89.5,45,Jeonju,Northern Africa
T064,Africa,Block2,370,,,2.28,88,124,36,Jeonju,Northern Africa
T065,Africa,Block8,290,,,,41,81,40,Jeonju,Northern Africa
T066,Africa,Block6,,,,1.72,47,90,43,Jeonju,Northern Africa
T067,Africa,Block8,,8.2,,2.46,41,89,48,Jeonju,Western Africa
T068,Africa,Block8,,,,2.5,86,122,36,Jeonju,Western Africa
T069,Africa,Block1,125,0.01,,,47,89,42,Jeonju,Western Africa
T070,Africa,Block7,515,86.24,0.17,1.88,39,80,41,Jeonju,Central Africa
T071,Africa,Block7,,14.74,,2.12,42,90,48,Jeonju,Central Africa
T072,Africa,Block7,590,2.67,,1.7,82,122,40,Jeonju,Central Africa
T073,Africa,Block3,,,,,84,124,40,Jeonju,Eastern Africa
T074,Africa,Block4,,51.35,,2.5,40,90,50,Jeonju,Northern Africa
T075,Africa,Block2,335,,,3.2,42,90,48,Jeonju,Northern Africa
T076,Africa,Block8,460,54.56,0.12,2.66,40,114,74,Jeonju,Northern Africa
T077,Africa,Block7,290,,,,67,89,22,Jeonju,Eastern Africa
T078,Africa,Block1,665,32.51,0.05,2.54,42,92,50,Jeonju,Eastern Africa
T079,Africa,Block5,550,23.28,0.04,1.7,50,90,40,Jeonju,Eastern Africa
T080,Africa,Block3,,8.29,,2.32,86,128,42,Jeonju,Eastern Africa
T081,Africa,Block6,,,,2.26,40,88,48,Jeonju,Eastern Africa
T082,Africa,Block1,,,,,56,90,34,Jeonju,Central Africa
T083,Africa,Block1,770,30.1,0.04,2.24,85,126,41,Jeonju,Eastern Africa
T084,Africa,Block3,165,,,2.34,49,90,41,Jeonju,Eastern Africa
T085,Africa,Block3,145,21.4,0.15,1.96,84,124,40,Jeonju,Eastern Africa
T086,Africa,Block8,490,,,2.5,53,90,37,Jeonju,Northern Africa
T087,Africa,Block4,,,,2.62,84,125,41,Jeonju,Northern Africa
T088,Africa,Block7,,,,3.36,40,90,50,Jeonju,Northern Africa
T089,Africa,Block6,,,,3.52,41,120,79,Jeonju,Northern Africa
T090,Africa,Block3,,36.34,,3.02,41,79,38,Jeonju,Northern Africa
T091,Africa,Block4,320,,,,42,122,80,Jeonju,Northern Africa
T092,Africa,Block2,475,5.85,0.01,2.18,40,92,52,Jeonju,Northern Africa
T093,Africa,Block6,,,,,44,90,46,Jeonju,Northern Africa
T094,Africa,Block7,,56.06,,2.72,94,122,28,Jeonju,Northern Africa
T095,Africa,Block7,245,,,2.7,64,90,26,Jeonju,Northern Africa
T096,Africa,Block7,350,47.5,0.14,2.45,42,90,48,Jeonju,Northern Africa
T097,Africa,Block7,,,,,113,144,31,Jeonju,Eastern Africa
T098,Africa,Block4,325,24.84,0.08,2,48,90,42,Jeonju,Western Africa
T099,Africa,Block7,315,3.77,0.01,1.32,42,89,47,Jeonju,Western Africa
T100,Africa,Block3,690,,,1.9,50,89,39,Jeonju,Western Africa
T101,Africa,Block6,,,,1.1,48,89,41,Jeonju,Western Africa
T102,Africa,Block2,755,,,2.14,46,90,44,Jeonju,Western Africa
T103,Africa,Block2,255,36.92,0.14,2.86,39,76,37,Jeonju,Western Africa
T104,Africa,Block5,185,42.57,0.23,2.72,40,92,52,Jeonju,Western Africa
T105,Africa,Block7,290,28.75,0.1,2.16,42,89,47,Jeonju,Western Africa
T106,Africa,Block2,415,,,1.83,46,94,48,Jeonju,Western Africa
T107,Africa,Block2,,,,,42,90,48,Jeonju,Western Africa
T108,Africa,Block5,410,,,2.04,49,91,42,Jeonju,Western Africa
T109,Africa,Block6,,,,1.68,47,89,42,Jeonju,Western Africa
T110,Africa,Block7,320,39.65,0.12,2.12,46,90,44,Jeonju,Western Africa
T111,Africa,Block6,760,,,2.2,46,89,43,Jeonju,Western Africa
T112,Africa,Block5,400,,,2.84,42,89,47,Jeonju,Western Africa
T113,Africa,Block8,545,,,,40,84,44,Jeonju,Western Africa
T114,Africa,Block7,,,,2.44,96,122,26,Jeonju,Western Africa
T115,Africa,Block3,245,,,2.5,45,89,44,Jeonju,Western Africa
T116,Africa,Block3,,18.98,,2.12,46,89,43,Jeonju,Western Africa
T117,Africa,Block1,665,,,2.28,88,125,37,Jeonju,Northern Africa
T118,Africa,Block1,185,,,,48,89,41,Jeonju,Northern Africa
T119,Africa,Block2,235,,,2.14,40,83,43,Jeonju,Northern Africa
T120,Africa,Block5,,,,2.72,36,84,48,Jeonju,Northern Africa
T121,Africa,Block7,,40.18,,1.58,42,89,47,Jeonju,Northern Africa
T122,Africa,Block3,,0.06,,,45,90,45,Jeonju,Northern Africa
T123,Africa,Block4,,,,1.76,44,90,46,Jeonju,Northern Africa
T124,Africa,Block8,160,21.19,0.13,2.46,74,103,29,Jeonju,Northern Africa
T125,Africa,Block4,,,,1.23,41,84,43,Jeonju,Northern Africa
T126,Africa,Block6,,,,,41,,,Jeonju,Northern Africa
T127,Africa,Block6,425,,,1.96,43,92,49,Jeonju,Northern Africa
T128,Africa,Block3,640,33.53,0.05,2.66,48,104,56,Jeonju,Northern Africa
T129,Africa,Block4,,20.22,,1.8,44,92,48,Jeonju,Northern Africa
T130,Africa,Block8,290,,,2.46,92,120,28,Jeonju,Northern Africa
T131,Africa,Block6,,,,1.76,92,124,32,Jeonju,Northern Africa
T132,Africa,Block7,,,,1.74,94,127,33,Jeonju,Northern Africa
T133,Africa,Block6,,8.37,,1.68,92,123,31,Jeonju,Northern Africa
T134,Africa,Block4,360,,,1.96,84,128,44,Jeonju,Northern Africa
T135,Africa,Block3,320,,,1.92,90,124,34,Jeonju,Northern Africa
T136,Africa,Block1,,1.29,,1.44,93,127,34,Jeonju,Northern Africa
T137,Africa,Block8,335,38.37,0.11,2.44,88,124,36,Jeonju,Northern Africa
T138,Africa,Block4,245,,,2.2,40,83,43,Jeonju,Northern Africa
T139,Africa,Block2,,4.65,,2.5,89,122,33,Jeonju,Northern Africa
T140,Africa,Block8,,,,2.48,85,122,37,Jeonju,Northern Africa
T141,Africa,Block7,310,,,1.72,88,124,36,Jeonju,Northern Africa
T142,Africa,Block5,400,,,,87,127,40,Jeonju,Northern Africa
T143,Africa,Block4,535,,,1.7,84,123,39,Jeonju,Northern Africa
T144,Africa,Block3,,,,,88,125,37,Jeonju,Northern Africa
T145,Africa,Block4,,,,2.26,98,124,26,Jeonju,Northern Africa
T146,Africa,Block3,545,,,2.18,91,128,37,Jeonju,Northern Africa
T147,Africa,Block1,280,,,3.04,67,113,46,Jeonju,Northern Africa
T148,Africa,Block1,,4.77,,1.3,44,90,46,Jeonju,Northern Africa
T149,Africa,Block1,,,,2.04,89,130,41,Jeonju,Northern Africa
T150,Africa,Block6,,,,1.3,90,126,36,Jeonju,Northern Africa
T151,Africa,Block5,,,,1.72,92,131,39,Jeonju,Northern Africa
T152,Africa,Block3,,6.21,,1.46,89,124,35,Jeonju,Northern Africa
T153,Africa,Block4,285,,,2.72,84,128,44,Jeonju,Northern Africa
T154,Africa,Block4,,,,1.68,80,125,45,Jeonju,Northern Africa
T155,Africa,Block3,,,,,83,128,45,Jeonju,Northern Africa
T156,Africa,Block7,,,,,40,81,41,Jeonju,Northern Africa
T157,Africa,Block1,365,,,1.02,87,125,38,Jeonju,Northern Africa
T158,Africa,Block5,280,,,2.05,80,120,40,Jeonju,Northern Africa
T159,Africa,Block8,,,,,83,123,40,Jeonju,Northern Africa
T160,Africa,Block4,,,,1.28,85,125,40,Jeonju,Northern Africa
T161,Africa,Block4,295,5.64,0.02,1.45,78,128,50,Jeonju,Northern Africa
T162,Africa,Block8,,,,,40,82,42,Jeonju,Northern Africa
T163,Africa,Block8,840,,,2.06,,,,Jeonju,Northern Africa
T164,Africa,Block5,360,,,1.46,47,98,51,Jeonju,Northern Africa
T165,Africa,Block1,,,,1.34,86,127,41,Jeonju,Northern Africa
T166,Africa,Block1,,,,2.34,64,121,57,Jeonju,Northern Africa
T167,Africa,Block8,,,,1.7,54,94,40,Jeonju,Central Africa
T168,Africa,Block2,325,,,2.48,,,,Jeonju,Northern Africa
T169,Africa,Block1,,,,2.04,54,89,35,Jeonju,Eastern Africa
T170,Africa,Block4,,,,2.22,86,129,43,Jeonju,Eastern Africa
T171,Africa,Block3,,,,,,,,Jeonju,Eastern Africa
T172,Africa,Block1,,,,,78,124,46,Jeonju,Eastern Africa
T173,Africa,Block1,590,,,2.24,74.5,119.5,45,Jeonju,Eastern Africa
T174,Africa,Block1,,,,,88,124,36,Jeonju,Eastern Africa
T175,Africa,Block6,,,,,70,123,53,Jeonju,Eastern Africa
T176,Africa,Block1,345,80.69,0.23,1.83,39,84,45,Jeonju,Northern Africa
T177,Africa,Block2,,,,2.42,74,120,46,Jeonju,Northern Africa
T178,Africa,Block2,280,55.11,0.2,2.43,72,118,46,Jeonju,Northern Africa
T179,Africa,Block8,525,1.2,,1.49,82,126,44,Jeonju,Northern Africa
T180,Africa,Block8,440,63.35,0.14,2.54,63,103,40,Jeonju,Northern Africa
T181,Africa,Block4,275,49.65,0.18,2.86,74,128,54,Jeonju,Northern Africa
T182,Africa,Block6,390,,,2.64,74,130,56,Jeonju,Northern Africa
T183,Africa,Block4,,60.36,,2.86,77,124,47,Jeonju,Northern Africa
T184,Africa,Block3,,,,,44,90,46,Jeonju,Eastern Africa
T185,Africa,Block4,,,,,47,92,45,Jeonju,Eastern Africa
T186,Africa,Block8,,3.4,,2.44,50,89,39,Jeonju,Eastern Africa
T187,Africa,Block4,,,,,48,90,42,Jeonju,Eastern Africa
T188,Africa,Block6,,,,,38,76,38,Jeonju,Eastern Africa
T189,Africa,Block6,,,,,50,84,34,Jeonju,Eastern Africa
T190,Africa,Block8,,,,,48,89,41,Jeonju,Eastern Africa
T191,Africa,Block7,320,,,,44,92,48,Jeonju,Eastern Africa
T192,Africa,Block8,,,,2,47,92,45,Jeonju,Eastern Africa
T193,Africa,Block7,,,,2.26,43,91,48,Jeonju,Eastern Africa
T194,Africa,Block7,400,,,,40,79,39,Jeonju,Eastern Africa
T195,Africa,Block4,,12.98,,2.06,44,88,44,Jeonju,Eastern Africa
T196,Africa,Block6,,,,,81,121,40,Jeonju,Eastern Africa
T197,Africa,Block1,,,,,58,92,34,Jeonju,Eastern Africa
T198,Africa,Block5,,,,,83,127,44,Jeonju,Eastern Africa
T199,Africa,Block3,695,9.85,0.01,2.16,81,114,33,Jeonju,Eastern Africa
T200,Africa,Block7,300,,,2,80,128,48,Jeonju,Central Africa
T201,Africa,Block7,,,,2.2,81,128,47,Jeonju,Central Africa
T202,Africa,Block4,205,,,2.98,77,123,46,Jeonju,Central Africa
T203,Africa,Block3,,,,,74,122,48,Jeonju,Central Africa
T204,Africa,Block1,,,,,71,116,45,Jeonju,Central Africa
T205,Africa,Block2,985,,,2.3,58,94,36,Jeonju,Eastern Africa
T206,Africa,Block2,,,,2.22,44,110,66,Jeonju,Central Africa
T207,Africa,Block4,310,0.25,,2.08,40,90,50,Jeonju,Central Africa
T208,Africa,Block2,,47.92,,2.4,62,114,52,Jeonju,Northern Africa
T209,Africa,Block3,,,,2.82,38,76,38,Jeonju,Northern Africa
T210,Africa,Block6,,29.48,,2.24,76,126,50,Jeonju,Northern Africa
T211,Africa,Block8,,,,1.92,78,128,50,Jeonju,Eastern Africa
T212,Africa,Block3,160,8.71,0.05,2,71,125,54,Jeonju,Eastern Africa
T213,Africa,Block1,,,,2.28,86,122,36,Jeonju,Eastern Africa
T214,Africa,Block6,315,,,2.76,79,114,35,Jeonju,Western Africa
T215,Africa,Block8,,,,,91,128,37,Jeonju,Eastern Africa
T216,Africa,Block2,465,,,2.34,93,124,31,Jeonju,Northern Africa
T217,Africa,Block4,,3.05,,1.42,54,89,35,Jeonju,Western Africa
T218,Africa,Block8,,12.48,,1.64,90,129,39,Jeonju,Eastern Africa
T219,Africa,Block7,,,,2.72,88,123,35,Jeonju,Northern Africa
T220,Africa,Block8,140,,,1.56,92,131,39,Jeonju,Northern Africa
T221,Africa,Block5,475,16.82,0.04,3.14,47,92,45,Jeonju,Western Africa
T222,Africa,Block6,415,1.53,,1.34,64,117,53,Jeonju,Western Africa
T223,Africa,Block2,,,,,40,79,39,Jeonju,Western Africa
T224,Africa,Block5,,,,,75,119,44,Jeonju,Western Africa
T225,Africa,Block2,640,,,,50,119,69,Jeonju,Western Africa
T226,Africa,Block5,,,,1.82,48,122,74,Jeonju,Western Africa
T227,Africa,Block8,780,109.8,0.14,3.08,50,119,69,Jeonju,Northern Africa
T228,Africa,Block6,175,14.74,0.08,2.18,94,131,37,Jeonju,Northern Africa
T229,Africa,Block2,,,,2.16,71,114,43,Jeonju,Northern Africa
T230,Africa,Block6,390,13.76,0.04,2.04,94,130,36,Jeonju,Northern Africa
T231,Africa,Block7,,,,1.88,38,90,52,Jeonju,Northern Africa
T232,Africa,Block2,,,,2.2,42,107,65,Jeonju,Northern Africa
T233,Africa,Block7,,6.63,,1.78,54,109,55,Jeonju,Northern Africa
T234,Africa,Block1,,,,2.2,,,,Jeonju,Northern Africa
T235,Africa,Block6,,,,,55,107,52,Jeonju,Eastern Africa
T236,Africa,Block8,,,,,40,81,41,Jeonju,Eastern Africa
T237,Africa,Block6,,33.79,,2.36,58,110,52,Jeonju,Central Africa
T238,Africa,Block1,,,,2.76,40,87,47,Jeonju,Northern Africa
T239,Africa,Block6,150,17.92,0.12,2.56,50,107,57,Jeonju,Eastern Africa
T240,Africa,Block6,,,,2.94,49,110,61,Jeonju,Eastern Africa
T241,Africa,Block1,190,93.27,0.49,2.19,64,111,47,Jeonju,Eastern Africa
T242,Africa,Block2,175,34.09,0.19,1.96,92,123,31,Jeonju,Eastern Africa
T243,Africa,Block3,390,58.37,0.15,2.18,42,85,43,Jeonju,Eastern Africa
T244,Africa,Block6,100,36.01,0.36,2.71,93,125,32,Jeonju,Eastern Africa
T245,Africa,Block4,315,,,2.76,44,103,59,Jeonju,Eastern Africa
T246,Africa,Block6,415,,,,57,110,53,Jeonju,Northern Africa
T247,Africa,Block6,,,,2.46,82,119,37,Jeonju,Northern Africa
T248,Africa,Block3,,,,2.78,54,90,36,Jeonju,Eastern Africa
T249,Africa,Block7,,,,2.78,50,91,41,Jeonju,Eastern Africa
T250,Africa,Block4,,73.49,,2.44,47,91,44,Jeonju,Eastern Africa
T251,Africa,Block2,,,,2.46,57,91,34,Jeonju,Eastern Africa
T252,Africa,Block1,,,,2.24,92,124,32,Jeonju,Eastern Africa
T253,Africa,Block2,,57.82,,2.34,93,128,35,Jeonju,Eastern Africa
T254,Africa,Block6,325,53.28,0.16,2.4,48,90,42,Jeonju,Eastern Africa
T255,Africa,Block4,,,,3.12,47,91,44,Jeonju,Eastern Africa
T256,Africa,Block5,235,,,2.26,48,92,44,Jeonju,Northern Africa
T257,Africa,Block5,,50.37,,2.64,91,122,31,Jeonju,Eastern Africa
T258,Africa,Block5,,,,2.42,57,92,35,Jeonju,Eastern Africa
T259,Africa,Block8,315,,,2.56,40,81,41,Jeonju,Eastern Africa
T260,Africa,Block7,,,,,75,108,33,Jeonju,Eastern Africa
T261,Africa,Block7,155,49.43,0.32,2.63,77,111,34,Jeonju,Northern Africa
T262,Africa,Block5,205,,,2.9,91,127,36,Jeonju,Northern Africa
T263,Africa,Block3,270,46.8,0.17,1.72,90,122,32,Jeonju,Northern Africa
T264,Africa,Block5,320,57.11,0.18,2.52,54,110,56,Jeonju,Northern Africa
T265,Africa,Block6,110,,,2.54,57,93,36,Jeonju,Northern Africa
T266,Africa,Block7,,59.64,,2.44,90,123,33,Jeonju,Northern Africa
