Accession,Continent,Block,Dried_Biomass,Dried_Seed_Weight,Harvest_Index,Thousand_Seed_Weight,Flowering,Maturity,Flowering_to_Maturity,Site,Region
T067,Africa,Block8,356,39.5,0.110955056,2.78274022,56,101,45,Miryang,Western Africa
T068,Africa,Block8,258,14.6,0.056589147,2.121027047,56,107,51,Miryang,Western Africa
T069,Africa,Block1,326,11.5,0.035276074,1.831527533,57,107,50,Miryang,Western Africa
T070,Africa,Block7,252,5,0.01984127,2.07376182,53,109,56,Miryang,Central Africa
T071,Africa,Block7,395.5,21.7,0.054867257,2.227373807,52,109,57,Miryang,Central Africa
T072,Africa,Block7,162,0.8,0.004938272,,56,109,53,Miryang,Central Africa
T073,Africa,Block3,278,1.1,0.003956835,,51,109,58,Miryang,Eastern Africa
T074,Africa,Block4,209.5,21.3,0.101670644,3.22585172,49,107,58,Miryang,Northern Africa
T075,Africa,Block2,202,12.8,0.063366337,3.41195855,41,101,60,Miryang,Northern Africa
T076,Africa,Block8,414,51.1,0.123429952,3.0131582,39,101,62,Miryang,Northern Africa
T077,Africa,Block7,343.5,28.3,0.082387191,2.794556527,45,101,56,Miryang,Eastern Africa
T078,Africa,Block1,274,4.7,0.017153285,2.58777116,62,115,53,Miryang,Eastern Africa
T079,Africa,Block5,392,17.3,0.044132653,2.0383129,62,115,53,Miryang,Eastern Africa
T080,Africa,Block3,325.5,29.8,0.091551459,2.94226036,56,112,56,Miryang,Eastern Africa
T081,Africa,Block6,395,31.1,0.078734177,2.599587467,57,107,50,Miryang,Eastern Africa
T082,Africa,Block1,468.5,11.7,0.024973319,2.3041798,60,107,47,Miryang,Central Africa
T083,Africa,Block1,371,11.1,0.029919137,2.55232224,53,107,54,Miryang,Eastern Africa
T084,Africa,Block3,351.5,61.4,0.174679943,2.918627747,45,107,62,Miryang,Eastern Africa
T085,Africa,Block3,228,52.2,0.228947368,2.505057013,49,101,52,Miryang,Eastern Africa
T086,Africa,Block8,238.5,,,,53,105,52,Miryang,Northern Africa
T087,Africa,Block4,389,23.8,0.061182519,2.983617433,52,107,55,Miryang,Northern Africa
T088,Africa,Block7,164,9.8,0.059756098,3.15495388,45,101,56,Miryang,Northern Africa
T089,Africa,Block6,207.5,19.3,0.093012048,3.2790251,49,107,58,Miryang,Northern Africa
T090,Africa,Block3,216,17.7,0.081944444,2.918627747,45,101,56,Miryang,Northern Africa
T091,Africa,Block4,555,16.9,0.03045045,2.652760847,58,107,49,Miryang,Northern Africa
T092,Africa,Block2,385.5,1.8,0.004669261,,49,107,58,Miryang,Northern Africa
T093,Africa,Block6,263,9.5,0.036121673,3.28788733,56,103,47,Miryang,Northern Africa
T094,Africa,Block7,252,19.6,0.077777778,3.149045727,49,101,52,Miryang,Northern Africa
T095,Africa,Block7,251,6.5,0.025896414,3.3676474,52,107,55,Miryang,Northern Africa
T096,Africa,Block7,312,29.7,0.095192308,3.249484333,49,96,47,Miryang,Northern Africa
T097,Africa,Block7,316,2.8,0.008860759,2.64094454,56,109,53,Miryang,Eastern Africa
T098,Africa,Block4,244.5,1.2,0.004907975,2.00286398,52,109,57,Miryang,Western Africa
T099,Africa,Block7,319,17.1,0.053605016,2.42825102,59,107,48,Miryang,Western Africa
T100,Africa,Block3,295.5,3.4,0.011505922,1.47113018,59,115,56,Miryang,Western Africa
T101,Africa,Block6,270,1.2,0.004444444,1.71927262,64,118,54,Miryang,Western Africa
T102,Africa,Block2,368,9.9,0.026902174,2.5700467,57,107,50,Miryang,Western Africa
T103,Africa,Block2,246,38.4,0.156097561,3.38537186,49,93,44,Miryang,Western Africa
T104,Africa,Block5,270,19.5,0.072222222,3.125413113,52,101,49,Miryang,Western Africa
T105,Africa,Block7,152.5,19.7,0.129180328,3.17267834,52,101,49,Miryang,Western Africa
T106,Africa,Block2,249,0.8,0.003212851,,58,118,60,Miryang,Western Africa
T108,Africa,Block5,271,3.3,0.012177122,2.72956684,52,112,60,Miryang,Western Africa
T109,Africa,Block6,292,14.8,0.050684932,2.203741193,53,115,62,Miryang,Western Africa
T110,Africa,Block7,258,11.7,0.045348837,2.599587467,52,112,60,Miryang,Western Africa
T111,Africa,Block6,228.5,9.8,0.042888403,2.95112259,49,101,52,Miryang,Western Africa
T112,Africa,Block5,274.5,11.9,0.043351548,2.95112259,49,107,58,Miryang,Western Africa
T113,Africa,Block8,473,40.3,0.085200846,2.505057013,52,107,55,Miryang,Western Africa
T114,Africa,Block7,336.5,22.5,0.066864785,2.81818914,45,107,62,Miryang,Western Africa
T115,Africa,Block3,355.5,48.3,0.135864979,2.593679313,53,101,48,Miryang,Western Africa
T116,Africa,Block3,606,28.3,0.04669967,2.44597548,62,107,45,Miryang,Western Africa
T118,Africa,Block1,576,6.6,0.011458333,2.28645534,62,115,53,Miryang,Northern Africa
T119,Africa,Block2,295,21.5,0.072881356,2.741383147,57,114,57,Miryang,Northern Africa
T120,Africa,Block5,453,63.1,0.139293598,2.989525587,45,101,56,Miryang,Northern Africa
T121,Africa,Block7,408.5,16.4,0.040146879,2.17124635,59,107,48,Miryang,Northern Africa
T122,Africa,Block3,392,2.7,0.006887755,2.00286398,64,109,45,Miryang,Northern Africa
T123,Africa,Block4,488.5,6,0.012282497,1.52430356,64,105,41,Miryang,Northern Africa
T124,Africa,Block8,218.5,5.9,0.027002288,2.28645534,48,107,59,Miryang,Northern Africa
T125,Africa,Block4,275.5,15.3,0.05553539,2.54346001,59,107,48,Miryang,Northern Africa
T126,Africa,Block6,438,5.3,0.012100457,2.061945513,62,107,45,Miryang,Northern Africa
T127,Africa,Block6,242,,,,62,107,45,Miryang,Northern Africa
T128,Africa,Block3,375.5,2.9,0.007723036,1.19640105,58,112,54,Miryang,Northern Africa
T129,Africa,Block4,391.5,16.9,0.043167305,2.221465653,58,107,49,Miryang,Northern Africa
T130,Africa,Block8,193.5,23.7,0.12248062,2.841821753,49,103,54,Miryang,Northern Africa
T131,Africa,Block6,332.5,26.6,0.08,2.41052656,51,103,52,Miryang,Northern Africa
T132,Africa,Block7,288.5,7.5,0.025996534,1.82561938,57,107,50,Miryang,Northern Africa
T133,Africa,Block6,424,7.6,0.017924528,1.9496906,58,107,49,Miryang,Northern Africa
T134,Africa,Block4,367,26.1,0.071117166,2.770923913,58,107,49,Miryang,Northern Africa
T135,Africa,Block3,269.5,13.2,0.048979592,1.91424168,47,115,68,Miryang,Northern Africa
T136,Africa,Block1,578.5,17.6,0.030423509,2.64094454,61,109,48,Miryang,Northern Africa
T137,Africa,Block8,417,64.7,0.155155875,2.948168513,53,107,54,Miryang,Northern Africa
T138,Africa,Block4,326,17.6,0.05398773,2.51687332,57,107,50,Miryang,Northern Africa
T139,Africa,Block2,483,23,0.047619048,2.41052656,57,107,50,Miryang,Northern Africa
T140,Africa,Block8,310.5,1.6,0.005152979,,58,112,54,Miryang,Northern Africa
T141,Africa,Block7,356,8.9,0.025,2.475516247,58,112,54,Miryang,Northern Africa
T142,Africa,Block5,392,10,0.025510204,1.819711227,58,108,50,Miryang,Northern Africa
T143,Africa,Block4,420,9.2,0.021904762,2.256914573,58,112,54,Miryang,Northern Africa
T144,Africa,Block3,556,0.6,0.001079137,,71,117,46,Miryang,Northern Africa
T145,Africa,Block4,337.5,19,0.056296296,2.635036387,53,108,55,Miryang,Northern Africa
T146,Africa,Block3,270,7.1,0.026296296,2.25986865,53,108,55,Miryang,Northern Africa
T147,Africa,Block1,257.5,54.3,0.210873786,2.76501576,46,108,62,Miryang,Northern Africa
T148,Africa,Block1,484,19.2,0.039669421,2.67639346,56,111,55,Miryang,Northern Africa
T149,Africa,Block1,264,23.6,0.089393939,2.64094454,49,115,66,Miryang,Northern Africa
T150,Africa,Block6,268,3.5,0.013059701,,56,108,52,Miryang,Northern Africa
T151,Africa,Block5,304,10.1,0.033223684,2.369169487,62,115,53,Miryang,Northern Africa
T152,Africa,Block3,301,6.3,0.020930233,1.63065032,57,115,58,Miryang,Northern Africa
T153,Africa,Block4,322,9.6,0.029813665,2.475516247,62,112,50,Miryang,Northern Africa
T154,Africa,Block4,530.5,5.5,0.010367578,1.74585931,71,115,44,Miryang,Northern Africa
T155,Africa,Block3,312,0.9,0.002884615,2.16238412,62,112,50,Miryang,Northern Africa
T156,Africa,Block7,384.5,3.5,0.009102731,2.10921074,53,114,61,Miryang,Northern Africa
T157,Africa,Block1,346,11.3,0.03265896,1.908333527,57,115,58,Miryang,Northern Africa
T158,Africa,Block5,418,2.5,0.005980861,1.98513952,62,115,53,Miryang,Northern Africa
T159,Africa,Block8,375,9.8,0.026133333,2.138751507,62,115,53,Miryang,Northern Africa
T160,Africa,Block4,464,7.1,0.015301724,2.81818914,58,108,50,Miryang,Northern Africa
T161,Africa,Block4,580,14.1,0.024310345,2.07376182,56,115,59,Miryang,Northern Africa
T162,Africa,Block8,508,2.6,0.00511811,2.44597548,62,115,53,Miryang,Northern Africa
T163,Africa,Block8,446,16.5,0.036995516,2.60549562,62,117,55,Miryang,Northern Africa
T164,Africa,Block5,374,8.8,0.023529412,2.11807297,57,112,55,Miryang,Northern Africa
T165,Africa,Block1,526,12.5,0.023764259,2.41052656,57,112,55,Miryang,Northern Africa
T166,Africa,Block1,392,28.8,0.073469388,3.0131582,46,110,64,Miryang,Northern Africa
T167,Africa,Block8,548,8,0.01459854,2.49914886,58,115,57,Miryang,Central Africa
T168,Africa,Block2,138.5,8.4,0.060649819,2.629128233,46,112,66,Miryang,Northern Africa
T169,Africa,Block1,692.5,0.4,0.000577617,,51,108,57,Miryang,Eastern Africa
T170,Africa,Block4,282,12.8,0.045390071,2.682301613,56,117,61,Miryang,Eastern Africa
T171,Africa,Block3,410,8.2,0.02,2.10921074,62,112,50,Miryang,Eastern Africa
T172,Africa,Block1,440,2.6,0.005909091,,60,117,57,Miryang,Eastern Africa
T173,Africa,Block1,469,1.3,0.002771855,,62,117,55,Miryang,Eastern Africa
T174,Africa,Block1,328,0.4,0.001219512,,62,112,50,Miryang,Eastern Africa
T175,Africa,Block6,450,9.1,0.020222222,2.55232224,62,115,53,Miryang,Eastern Africa
T176,Africa,Block1,134,19.8,0.147761194,2.717750533,41,112,71,Miryang,Northern Africa
T177,Africa,Block2,322,5.5,0.017080745,3.03088266,56,93,37,Miryang,Northern Africa
T178,Africa,Block2,206.5,28.3,0.137046005,2.841821753,45,93,48,Miryang,Northern Africa
T179,Africa,Block8,249,13.6,0.054618474,2.87136252,49,93,44,Miryang,Northern Africa
T180,Africa,Block8,257.5,7.8,0.030291262,2.95112259,49,107,58,Miryang,Northern Africa
T181,Africa,Block4,282,5.7,0.020212766,2.50801109,49,107,58,Miryang,Northern Africa
T182,Africa,Block6,1192,4.4,0.003691275,3.08405604,49,107,58,Miryang,Northern Africa
T183,Africa,Block4,138,4.6,0.033333333,2.4814244,42,92,50,Miryang,Northern Africa
T184,Africa,Block3,,,,,,,,Miryang,Eastern Africa
T185,Africa,Block4,390,0.5,0.001282051,,62,92,30,Miryang,Eastern Africa
T186,Africa,Block8,256,3.2,0.0125,1.96741506,56,92,36,Miryang,Eastern Africa
T187,Africa,Block4,313,,,,,96,,Miryang,Eastern Africa
T188,Africa,Block6,347.5,0.2,0.00057554,,,92,,Miryang,Eastern Africa
T189,Africa,Block6,346,1.3,0.003757225,,59,109,50,Miryang,Eastern Africa
T190,Africa,Block8,354,0.4,0.001129944,,62,117,55,Miryang,Eastern Africa
T191,Africa,Block7,620.5,1,0.001611604,,62,115,53,Miryang,Eastern Africa
T192,Africa,Block8,340,0.4,0.001176471,,62,109,47,Miryang,Eastern Africa
T193,Africa,Block7,535.5,6.1,0.011391223,2.51687332,59,112,53,Miryang,Eastern Africa
T194,Africa,Block7,455.5,2.1,0.004610318,,62,115,53,Miryang,Eastern Africa
T195,Africa,Block4,,2.3,,,62,109,47,Miryang,Eastern Africa
T196,Africa,Block6,356.5,3.8,0.010659187,2.07376182,57,115,58,Miryang,Eastern Africa
T197,Africa,Block1,476,0.1,0.000210084,,62,115,53,Miryang,Eastern Africa
T198,Africa,Block5,284.5,,,,,112,,Miryang,Eastern Africa
T199,Africa,Block3,634.5,2.1,0.003298775,,62,112,50,Miryang,Eastern Africa
T200,Africa,Block7,147,,,,,112,,Miryang,Central Africa
T201,Africa,Block7,258,0.9,0.003488372,,58,115,57,Miryang,Central Africa
T202,Africa,Block4,220,0.7,0.003181818,,64,115,51,Miryang,Central Africa
T203,Africa,Block3,664,3.1,0.004668675,2.05603736,58,115,57,Miryang,Central Africa
T204,Africa,Block1,372,0.3,0.000806452,,58,112,54,Miryang,Central Africa
T205,Africa,Block2,426,2.1,0.004929577,2.32190426,51,112,61,Miryang,Eastern Africa
T206,Africa,Block2,184,21.5,0.116847826,2.646852693,51,107,56,Miryang,Central Africa
T207,Africa,Block4,418,1.4,0.003349282,,58,115,57,Miryang,Central Africa
T208,Africa,Block2,289.5,21.5,0.074265976,2.883178827,53,107,54,Miryang,Northern Africa
T209,Africa,Block3,180,8.9,0.049444444,2.27759311,43,107,,Miryang,Northern Africa
T210,Africa,Block6,180.5,19.7,0.109141274,3.08405604,45,107,62,Miryang,Northern Africa
T211,Africa,Block8,318,7.3,0.022955975,2.89794921,52,114,62,Miryang,Eastern Africa
T212,Africa,Block3,444,13.9,0.031306306,2.351445027,49,112,63,Miryang,Eastern Africa
T213,Africa,Block1,193,31.5,0.163212435,3.22585172,45,92,47,Miryang,Eastern Africa
T214,Africa,Block6,250,41.3,0.1652,3.219943567,51,97,46,Miryang,Western Africa
T215,Africa,Block8,488,4.6,0.00942623,2.07376182,51,97,46,Miryang,Eastern Africa
T216,Africa,Block2,343.5,14.8,0.043085881,3.08405604,45,115,70,Miryang,Northern Africa
T217,Africa,Block4,358,27.7,0.077374302,2.3928021,53,115,62,Miryang,Western Africa
T218,Africa,Block8,238,11.7,0.049159664,2.4814244,56,104,48,Miryang,Eastern Africa
T219,Africa,Block7,414,17.7,0.042753623,3.019066353,50,118,68,Miryang,Northern Africa
T220,Africa,Block8,258,10.8,0.041860465,1.98513952,52,107,55,Miryang,Northern Africa
T221,Africa,Block5,419,31,0.07398568,2.57890893,58,115,57,Miryang,Western Africa
T222,Africa,Block6,258,1.1,0.004263566,,71,115,44,Miryang,Western Africa
T224,Africa,Block5,735.5,1.8,0.002447315,,62,117,55,Miryang,Western Africa
T225,Africa,Block2,507,31.8,0.062721893,2.85363806,51,112,61,Miryang,Western Africa
T227,Africa,Block8,268,6.6,0.024626866,2.72956684,62,112,50,Miryang,Northern Africa
T228,Africa,Block6,209,16.3,0.077990431,2.635036387,51,115,64,Miryang,Northern Africa
T229,Africa,Block2,368.5,26.6,0.072184532,2.575954853,51,112,61,Miryang,Northern Africa
T230,Africa,Block6,452.5,1.6,0.003535912,,58,115,57,Miryang,Northern Africa
T231,Africa,Block7,434.5,17,0.039125432,2.32190426,47,115,68,Miryang,Northern Africa
T232,Africa,Block2,268,22.5,0.083955224,2.723658687,52,112,60,Miryang,Northern Africa
T233,Africa,Block7,393.5,16,0.040660737,1.88,60,112,52,Miryang,Northern Africa
T234,Africa,Block1,420,4.2,0.01,2.2155575,47,115,68,Miryang,Northern Africa
T235,Africa,Block6,414.5,0.7,0.001688782,,71,103,32,Miryang,Eastern Africa
T236,Africa,Block8,400.5,6.4,0.015980025,2.11807297,59,112,53,Miryang,Eastern Africa
T237,Africa,Block6,312,39.7,0.12724359,2.971801127,42,93,51,Miryang,Central Africa
T238,Africa,Block1,224,38.9,0.173660714,3.04860712,41,93,52,Miryang,Northern Africa
T239,Africa,Block6,574,47.8,0.083275261,3.060423427,42,106,64,Miryang,Eastern Africa
T240,Africa,Block6,329,54.6,0.165957447,3.273116947,45,93,48,Miryang,Eastern Africa
T241,Africa,Block1,141,41.4,0.293617021,2.971801127,45,93,48,Miryang,Eastern Africa
T242,Africa,Block2,277.5,61.9,0.223063063,2.67639346,42,101,59,Miryang,Eastern Africa
T243,Africa,Block3,522.5,48.1,0.092057416,3.143137573,49,103,54,Miryang,Eastern Africa
T244,Africa,Block6,252,25.1,0.099603175,3.17267834,45,107,62,Miryang,Eastern Africa
T245,Africa,Block4,514.5,55,0.106899903,2.759107607,43,107,64,Miryang,Eastern Africa
T246,Africa,Block6,232.5,34.1,0.146666667,3.50058085,42,93,51,Miryang,Northern Africa
T247,Africa,Block6,436,42.9,0.098394495,2.62322008,45,93,48,Miryang,Northern Africa
T248,Africa,Block3,122,35.7,0.292622951,2.971801127,45,93,48,Miryang,Eastern Africa
T249,Africa,Block7,282,73.6,0.260992908,3.609881687,41,93,52,Miryang,Eastern Africa
T250,Africa,Block4,452,89.7,0.198451327,3.125413113,42,93,51,Miryang,Eastern Africa
T251,Africa,Block2,332,48.5,0.146084337,3.03088266,42,93,51,Miryang,Eastern Africa
T252,Africa,Block1,226,39.4,0.174336283,2.894995133,51,107,56,Miryang,Eastern Africa
T253,Africa,Block2,500,46,0.092,,51,107,56,Miryang,Eastern Africa
T254,Africa,Block6,369.5,18.1,0.048985115,3.143137573,49,112,63,Miryang,Eastern Africa
T255,Africa,Block4,272,26.7,0.098161765,3.44740747,45,107,62,Miryang,Eastern Africa
T256,Africa,Block5,349.5,18.4,0.052646638,2.794556527,49,107,58,Miryang,Northern Africa
T257,Africa,Block5,172.5,36,0.208695652,3.373555553,42,94,52,Miryang,Eastern Africa
T258,Africa,Block5,176.5,14.4,0.081586402,2.89794921,45,93,48,Miryang,Eastern Africa
T259,Africa,Block8,246,34.4,0.139837398,3.196310953,43,93,50,Miryang,Eastern Africa
T260,Africa,Block7,287.5,,,,71,112,41,Miryang,Eastern Africa
T261,Africa,Block7,156,31.6,0.202564103,,46,93,47,Miryang,Northern Africa
T262,Africa,Block5,177.4,30.4,0.171364149,3.57147869,42,93,51,Miryang,Northern Africa
T263,Africa,Block3,222,41,0.184684685,3.284933253,42,93,51,Miryang,Northern Africa
T264,Africa,Block5,447,46.9,0.1049217,3.042698967,43,93,50,Miryang,Northern Africa
T265,Africa,Block6,216.5,26.8,0.123787529,3.4562697,38,93,55,Miryang,Northern Africa
T266,Africa,Block7,250,38.9,0.1556,2.824097293,38,93,55,Miryang,Northern Africa
T267,Africa,Block5,196,,,,42,93,51,Miryang,Northern Africa
T268,Africa,Block5,166,22.2,0.13373494,3.34106071,38,93,55,Miryang,Eastern Africa
T269,Africa,Block8,341,84.2,0.246920821,3.231759873,42,87,45,Miryang,Northern Africa
T270,Africa,Block1,246,57.4,0.233333333,3.06633158,42,94,52,Miryang,Northern Africa
T271,Africa,Block6,190,37.1,0.195263158,2.85363806,42,87,45,Miryang,Northern Africa
T272,Africa,Block2,186,30.9,0.166129032,3.34992294,42,94,52,Miryang,Northern Africa
T273,Africa,Block4,261.5,47.8,0.182791587,2.894995133,42,94,52,Miryang,Southern Africa
T274,Africa,Block3,276,54.5,0.197463768,3.089964193,42,94,52,Miryang,Eastern Africa
T275,Africa,Block8,214,30.1,0.140654206,3.31447402,42,94,52,Miryang,Northern Africa
