Accession,Continent,Block,Dried_Biomass,Dried_Seed_Weight,Harvest_Index,Thousand_Seed_Weight,Flowering,Maturity,Flowering_to_Maturity,Site,Region
T276,Africa,Block2,388,64.3,0.165721649,3.08405604,42,94,52,Miryang,Northern Africa
T278,Africa,Block1,208,42.5,0.204326923,3.089964193,42,94,52,Miryang,Northern Africa
T279,Africa,Block8,259.5,52.1,0.200770713,3.338106633,42,94,52,Miryang,Northern Africa
T280,Africa,Block7,178.5,14.9,0.083473389,2.617311927,51,94,43,Miryang,Western Africa
T281,Africa,Block1,376,72,0.191489362,3.397188167,42,94,52,Miryang,Western Africa
T282,Africa,Block7,214,24.9,0.11635514,3.31447402,42,94,52,Miryang,Northern Africa
T283,Africa,Block7,302,36.6,0.121192053,3.50944308,42,94,52,Miryang,Northern Africa
T284,Africa,Block8,193,23.3,0.120725389,3.52716754,42,87,45,Miryang,Western Africa
T285,Africa,Block1,214,15.7,0.073364486,3.32333625,42,87,45,Miryang,Northern Africa
T286,Africa,Block7,68,8,0.117647059,3.11950496,42,87,45,Miryang,Northern Africa
T287,Africa,Block6,280,52.2,0.186428571,3.302657713,45,87,42,Miryang,Northern Africa
T288,Africa,Block4,128,21.8,0.1703125,3.47399416,42,87,45,Miryang,Northern Africa
T289,Africa,Block5,186,23,0.123655914,3.33219848,42,87,45,Miryang,Northern Africa
T290,Africa,Block1,262.5,57.3,0.218285714,3.940738273,42,87,45,Miryang,Eastern Africa
T291,Africa,Block3,212,45,0.212264151,3.9880035,42,87,45,Miryang,Northern Africa
T292,Africa,Block1,442,46.9,0.106108597,3.249484333,45,93,48,Miryang,Eastern Africa
T293,Africa,Block3,198,26.9,0.135858586,3.7221366,42,93,51,Miryang,Northern Africa
T294,Asia,Block6,110,4.7,0.042727273,2.83,42,88,46,Miryang,Middle East
T295,Asia,Block1,245.5,18.4,0.074949084,2.766666667,37,88,51,Miryang,Middle East
T296,Asia,Block7,422,10.4,0.02464455,2.2,51,108,57,Miryang,Middle East
T297,Asia,Block4,158,26.4,0.167088608,3.2,45,108,63,Miryang,Middle East
T298,Asia,Block7,99,7.4,0.074747475,2.466666667,37,108,71,Miryang,Middle East
T299,Asia,Block3,337,20.5,0.060830861,2.36,42,108,66,Miryang,Middle East
T300,Asia,Block4,480,18.2,0.037916667,3.133333333,56,108,52,Miryang,Middle East
T301,Asia,Block4,172,22.5,0.130813953,2.98,45,108,63,Miryang,Middle East
T302,Asia,Block8,271.5,17.1,0.062983425,3.26,42,108,66,Miryang,Middle East
T303,Asia,Block6,257.5,56.3,0.218640777,3.58,42,88,46,Miryang,Middle East
T304,Africa,Block5,176,11.4,0.064772727,3.462177853,45,88,43,Miryang,Northern Africa
T305,Africa,Block4,208,6.2,0.029807692,3.1017805,49,88,39,Miryang,Northern Africa
T306,Asia,Block3,560,1.2,0.002142857,,58,94,36,Miryang,Southern Asia
T307,Asia,Block8,484,5.9,0.012190083,3.0131582,58,94,36,Miryang,Southern Asia
T308,Asia,Block8,282,31.8,0.112765957,3.326290327,42,94,52,Miryang,Southern Asia
T309,Asia,Block1,522.5,4.5,0.00861244,2.01172621,59,94,35,Miryang,Southern Asia
T310,Asia,Block1,448,42.6,0.095089286,3.143137573,51,94,43,Miryang,Southern Asia
T311,Asia,Block6,294,13.3,0.045238095,3.361739247,56,94,38,Miryang,Southern Asia
T312,Asia,Block5,248,8.7,0.035080645,3.11950496,45,94,49,Miryang,Southern Asia
T313,Asia,Block3,430,4.5,0.010465116,3.38537186,51,94,43,Miryang,Southern Asia
T314,Asia,Block7,188.5,33.3,0.176657825,3.326290327,42,87,45,Miryang,Eastern Asia
T315,Asia,Block4,212.5,44.9,0.211294118,3.79303444,49,108,59,Miryang,Eastern Asia
T316,Asia,Block4,751,144.5,0.19241012,3.521259387,49,118,69,Miryang,Eastern Asia
T317,Asia,Block6,459.5,78.1,0.169967356,3.550800153,49,107,58,Miryang,Eastern Asia
T318,Asia,Block3,88,12.4,0.140909091,2.759107607,45,81,36,Miryang,Eastern Asia
T319,Others,Block6,283.5,27.9,0.098412698,3.24357618,51,108,57,Miryang,Northern America
T320,Others,Block4,492,10,0.020325203,3.14609165,56,112,56,Miryang,Northern America
T321,Others,Block3,385,21.9,0.056883117,3.27016287,55,112,57,Miryang,Northern America
T322,Others,Block2,353,71.8,0.203399433,2.812280987,49,108,59,Miryang,Northern America
T323,Others,Block3,260,3.9,0.015,3.0131582,60,112,52,Miryang,Northern America
T324,Asia,Block2,354.5,41.1,0.115937941,3.024974507,45,94,49,Miryang,Eastern Asia
T325,Asia,Block1,203.5,19.5,0.095823096,2.77387799,42,94,52,Miryang,Eastern Asia
T326,Asia,Block6,320,5.9,0.0184375,2.46369994,52,94,42,Miryang,Eastern Asia
T327,Asia,Block5,806,43.2,0.053598015,2.71184238,53,94,41,Miryang,Eastern Asia
T328,Asia,Block6,860,34.2,0.039767442,3.40309632,51,94,43,Miryang,Eastern Asia
T329,Africa,Block7,152.5,34.4,0.22557377,3.284933253,42,88,46,Miryang,Northern Africa
T330,Africa,Block3,498,19.9,0.039959839,3.219943567,53,94,41,Miryang,Northern Africa
T331,Africa,Block8,342,7.1,0.020760234,3.18154057,51,94,43,Miryang,Northern Africa
T332,Asia,Block6,324,49.6,0.15308642,3.003333333,53,108,55,Miryang,Southern Asia
T333,Asia,Block5,272,14,0.051470588,2.11,56,108,52,Miryang,Southern Asia
T334,Asia,Block8,316.5,24.8,0.07835703,2.406666667,52,108,56,Miryang,Southern Asia
T335,Asia,Block2,382,26.5,0.069371728,3.005,46,108,62,Miryang,Southern Asia
T336,Others,Block2,175,37.4,0.213714286,2.906666667,42,88,46,Miryang,Eurasia
T337,Others,Block3,335,43.9,0.131044776,2.616666667,45,108,63,Miryang,Eurasia
T338,Others,Block1,,29.9,,3.196666667,46,108,62,Miryang,Eurasia
T339,Others,Block8,391.5,88.8,0.226819923,3.176666667,45,88,43,Miryang,Eurasia
T340,Others,Block1,178,27.9,0.156741573,3.13,42,88,46,Miryang,Eurasia
T341,Others,Block7,420,7.7,0.018333333,3.04,42,108,66,Miryang,Eurasia
T342,Asia,Block4,313,73.2,0.233865815,3.373555553,42,107,65,Miryang,Eastern Asia
T343,Asia,Block4,222.5,24.5,0.11011236,3.355831093,42,108,66,Miryang,Eastern Asia
T344,Asia,Block6,292.5,24.6,0.084102564,3.024974507,45,87,42,Miryang,Eastern Asia
T345,Asia,Block7,250,44.3,0.1772,2.794556527,42,94,52,Miryang,Eastern Asia
T346,Asia,Block1,217.5,48,0.220689655,3.373555553,45,94,49,Miryang,Eastern Asia
T347,Asia,Block7,344,15.6,0.045348837,3.15495388,48,94,46,Miryang,Southern Asia
T348,Asia,Block4,348,31.6,0.090804598,3.15495388,51,94,43,Miryang,Southern Asia
T349,Asia,Block5,192,16.7,0.086979167,3.17267834,37,88,51,Miryang,Southern Asia
T350,Asia,Block2,376,13.9,0.036968085,2.77387799,52,94,42,Miryang,Southern Asia
T351,Others,Block3,492,75.4,0.153252033,3.024974507,49,94,45,Miryang,Middle East
T352,Others,Block5,322,22.6,0.070186335,3.267208793,46,94,48,Miryang,Middle East
T353,Others,Block5,538,58.6,0.108921933,3.13722942,49,94,45,Miryang,Middle East
T354,Others,Block8,266,9,0.033834586,3.25243841,56,107,51,Miryang,Middle East
T355,Others,Block4,422,38.5,0.091232227,2.723658687,45,107,62,Miryang,Middle East
T356,Others,Block2,300,22.2,0.074,3.249484333,45,107,62,Miryang,Middle East
T357,Asia,Block5,252,15.7,0.062301587,3.284933253,42,93,51,Miryang,Southern Asia
T358,Asia,Block7,107.5,17.6,0.16372093,3.036790813,49,93,44,Miryang,Southern Asia
T359,Asia,Block3,220,23.5,0.106818182,3.3676474,51,94,43,Miryang,Southern Asia
T360,Asia,Block8,402,41.2,0.102487562,3.485810467,48,94,46,Miryang,Southern Asia
T361,Asia,Block3,352,14.9,0.042329545,3.25243841,42,94,52,Miryang,Southern Asia
T362,Asia,Block8,396,30.7,0.077525253,3.178586493,42,94,52,Miryang,Southern Asia
T363,Asia,Block4,429,50.7,0.118181818,3.538983847,52,94,42,Miryang,Southern Asia
T364,Asia,Block3,326,8.1,0.024846626,3.49171862,51,94,43,Miryang,Southern Asia
T365,Asia,Block8,168,17,0.101190476,3.52716754,52,94,42,Miryang,Southern Asia
T366,Asia,Block2,252,8,0.031746032,2.68525569,42,93,51,Miryang,Southern Asia
T367,Asia,Block3,276,27.7,0.100362319,3.34992294,45,109,64,Miryang,Middle East
T368,Asia,Block3,383.5,60.2,0.156975228,2.741383147,45,88,43,Miryang,Eastern Asia
T369,Asia,Block5,260,43.7,0.168076923,3.432637087,45,88,43,Miryang,Eastern Asia
T370,Asia,Block2,378,35.7,0.094444444,2.369169487,45,107,62,Miryang,Eastern Asia
T371,Asia,Block1,379.5,78.1,0.205797101,3.08405604,49,107,58,Miryang,Eastern Asia
T372,Asia,Block3,280,35,0.125,3.58034092,42,108,66,Miryang,Eastern Asia
T373,Asia,Block2,462,6.6,0.014285714,3.33219848,64,112,48,Miryang,Southern Asia
T374,Asia,Block2,405,15,0.037037037,2.050129207,52,108,56,Miryang,Southern Asia
T375,Asia,Block5,283,9.4,0.033215548,2.841821753,56,108,52,Miryang,Southern Asia
T376,Asia,Block5,560,20.5,0.036607143,3.21698949,58,112,54,Miryang,Southern Asia
T377,Asia,Block5,316,24.9,0.078797468,3.323333333,51,112,61,Miryang,Southern Asia
T378,Asia,Block5,409,20.5,0.050122249,2.985,53,108,55,Miryang,Southern Asia
T379,Asia,Block7,171.5,23.9,0.139358601,,52,108,56,Miryang,Southern Asia
T380,Asia,Block1,377.5,6.4,0.016953642,2.14,62,112,50,Miryang,Southern Asia
T381,Asia,Block2,332,12.1,0.036445783,2.05,50,112,62,Miryang,Southern Asia
T382,Asia,Block4,235,25.4,0.108085106,3.06,42,88,46,Miryang,Middle East
T383,Asia,Block4,216,37.8,0.175,3.14,42,88,46,Miryang,Middle East
T384,Asia,Block5,189,38.2,0.202116402,3.426666667,42,88,46,Miryang,Middle East
T385,Asia,Block8,413,47.1,0.114043584,2.663333333,42,108,66,Miryang,Middle East
T386,Others,Block3,265,64.6,0.243773585,3.31,45,88,43,Miryang,Northern America
T387,Others,Block5,276,27.4,0.099275362,2.87,45,88,43,Miryang,Northern America
T388,Others,Block8,330,11.4,0.034545455,2.57,53,108,55,Miryang,Northern America
T389,Others,Block7,176,43.8,0.248863636,3.02,35,88,53,Miryang,Northern America
T390,Others,Block3,194,48,0.24742268,2.756666667,45,88,43,Miryang,Northern America
T391,Others,Block8,298,28.6,0.095973154,2.746666667,49,108,59,Miryang,Southern America
T392,Others,Block6,194,13.8,0.071134021,3.06,45,108,63,Miryang,Southern America
T393,Others,Block6,332,20.9,0.062951807,2.665,49,108,59,Miryang,Southern America
T394,Asia,Block8,178.5,46.4,0.259943978,3.05746935,39,85,46,Miryang,Eastern Asia
T395,Asia,Block3,176,36.3,0.20625,3.70441214,45,87,42,Miryang,Eastern Asia
T396,Asia,Block1,248,34.2,0.137903226,2.78274022,47,87,40,Miryang,Eastern Asia
T397,Asia,Block5,269.5,59.4,0.220408163,2.759107607,42,87,45,Miryang,Eastern Asia
T398,Asia,Block1,216,23,0.106481481,2.859546213,42,85,43,Miryang,Eastern Asia
T399,Asia,Block2,222,66.8,0.300900901,3.479902313,45,87,42,Miryang,Eastern Asia
T400,Asia,Block2,195,35.8,0.183589744,3.255392487,42,85,43,Miryang,Eastern Asia
T401,Asia,Block4,202,42.5,0.21039604,3.255392487,42,87,45,Miryang,Eastern Asia
T402,Asia,Block2,176,32,0.181818182,3.302657713,45,85,40,Miryang,Eastern Asia
T403,Asia,Block1,130,25.6,0.196923077,2.76,42,74,32,Miryang,Eastern Asia
T404,Asia,Block7,200,28.4,0.142,2.948168513,42,85,43,Miryang,Eastern Asia
T405,Asia,Block2,458,44.7,0.097598253,3.083333333,45,108,63,Miryang,Unknown
T406,Asia,Block2,291,44,0.151202749,2.92,45,88,43,Miryang,Unknown
T407,Asia,Block2,206,38.7,0.187864078,2.812280987,46,87,41,Miryang,Eastern Asia
T408,Asia,Block5,174,39.1,0.224712644,3.131321267,46,81,35,Miryang,Eastern Asia
T409,Asia,Block4,144,18.4,0.127777778,2.256914573,37,78,41,Miryang,Eastern Asia
T410,Asia,Block7,,,,,36,71,35,Miryang,Eastern Asia
T411,Asia,Block2,283.5,28.3,0.099823633,2.434159173,37,84,47,Miryang,Eastern Asia
T412,Asia,Block7,293.5,19.8,0.06746167,2.510965167,37,81,44,Miryang,Eastern Asia
T413,Asia,Block5,176,46.4,0.263636364,3.1017805,42,87,45,Miryang,Eastern Asia
T414,Asia,Block7,166.5,42.7,0.256456456,3.24357618,42,87,45,Miryang,Eastern Asia
T415,Asia,Block2,125.5,3.5,0.027888446,2.78274022,42,79,37,Miryang,Eastern Asia
T416,Asia,Block2,125.5,5.7,0.045418327,2.65,45,80,35,Miryang,Unknown
T417,Asia,Block2,137.5,16.7,0.121454545,3.153333333,42,108,66,Miryang,Unknown
T418,Asia,Block8,259.5,62.7,0.241618497,3.046666667,47,108,61,Miryang,Unknown
T419,Asia,Block4,249.5,36.4,0.145891784,2.346666667,45,88,43,Miryang,Unknown
T420,Asia,Block5,234,44.4,0.18974359,2.855,45,88,43,Miryang,Unknown
T421,Asia,Block2,229,16.6,0.072489083,2.496666667,49,108,59,Miryang,Unknown
T422,Asia,Block8,201.5,2.4,0.01191067,2.89,48,108,60,Miryang,Unknown
T423,Asia,Block5,330,53,0.160606061,2.61,45,108,63,Miryang,Unknown
T424,Asia,Block5,184,28.8,0.156521739,3.19,45,88,43,Miryang,Eastern Asia
T425,Asia,Block3,176,27.2,0.154545455,2.733333333,42,88,46,Miryang,Unknown
T426,Asia,Block2,100.5,34,0.338308458,2.75,42,88,46,Miryang,Eastern Asia
T427,Asia,Block7,240.5,19,0.079002079,3.11,45,88,43,Miryang,Unknown
T428,Asia,Block2,51,12.8,0.250980392,2.716666667,42,80,38,Miryang,Eastern Asia
T431,Asia,Block5,280,2.1,0.0075,,60,108,48,Miryang,Southern Africa
TN01,Africa,Block4,401,8.6,0.021446384,2.723658687,53,107,54,Miryang,Northern Africa
TN02,Asia,Block7,223,64.2,0.287892377,2.733333333,51,108,57,Miryang,Eastern Asia
TN03,Asia,Block7,157,32.9,0.20955414,2.703333333,45,88,43,Miryang,Eastern Asia
TN04,Asia,Block7,210.5,26,0.123515439,3,45,88,43,Miryang,Eastern Asia
TN05,Asia,Block7,127.5,48.7,0.381960784,2.476666667,45,80,35,Miryang,Eastern Asia
TN06,Asia,Block7,,,,,,,,Miryang,Southern Africa
TN07,Asia,Block7,540,0.2,0.00037037,,62,108,46,Miryang,Southern Africa
TN08,Asia,Block7,245,23.6,0.096326531,3.106666667,42,91,49,Miryang,Eastern Asia
TN09,Asia,Block7,194.5,34.3,0.176349614,3.273333333,38,81,43,Miryang,Eastern Asia
TN10,Asia,Block7,197.5,37.2,0.18835443,2.7,41,86,45,Miryang,Eastern Asia
TN11,Asia,Block7,185.5,25.2,0.135849057,2.486666667,42,84,42,Miryang,Eastern Asia
TN12,Asia,Block7,102.5,12.4,0.12097561,2.766666667,37,79,42,Miryang,Eastern Asia
TN13,Asia,Block7,130.5,29.4,0.225287356,2.606666667,41,88,47,Miryang,Eastern Asia
TN14,Asia,Block7,137.5,20.3,0.147636364,2.673333333,41,81,40,Miryang,Eastern Asia
TN15,Asia,Block7,145.5,25.8,0.177319588,2.74,41,81,40,Miryang,Eastern Asia
TN16,Asia,Block8,278,53.5,0.192446043,2.653333333,42,87,45,Miryang,Eastern Asia
TN17,Asia,Block8,200.5,38.2,0.190523691,2.973333333,42,86,44,Miryang,Eastern Asia
TN18,Asia,Block8,139.5,33,0.23655914,3.3,42,85,43,Miryang,Eastern Asia
TN19,Asia,Block8,295,48.2,0.163389831,2.993333333,42,91,49,Miryang,Eastern Asia
TN20,Asia,Block8,215,42.1,0.195813953,3.286666667,42,91,49,Miryang,Eastern Asia
TN21,Asia,Block8,208.5,40.9,0.19616307,3.006666667,43,91,48,Miryang,Eastern Asia
TN22,Asia,Block8,202.5,53.9,0.26617284,3.146666667,42,91,49,Miryang,Eastern Asia
TN23,Asia,Block8,196.5,40.4,0.205597964,2.833333333,42,91,49,Miryang,Eastern Asia
TN24,Asia,Block8,124,13.1,0.105645161,3.14,42,84,42,Miryang,Eastern Asia
TN25,Asia,Block8,172,34.5,0.200581395,3.156666667,42,87,45,Miryang,Eastern Asia
TN26,Asia,Block8,144.5,34.4,0.238062284,2.663333333,42,85,43,Miryang,Eastern Asia
TN27,Asia,Block8,104,27,0.259615385,2.57,42,85,43,Miryang,Eastern Asia
TN28,Asia,Block8,158,31.9,0.201898734,3.106666667,42,91,49,Miryang,Eastern Asia
TN29,Asia,Block8,127,29,0.228346457,2.903333333,42,84,42,Miryang,Eastern Asia
TN30,Asia,Block8,240,46.6,0.194166667,3.08,42,93,51,Miryang,Eastern Asia
TN31,Asia,Block8,132.5,16.2,0.122264151,3.246666667,42,91,49,Miryang,Eastern Asia
TN32,Asia,Block8,134,25.4,0.189552239,2.933333333,42,81,39,Miryang,Eastern Asia
TN33,Asia,Block8,165,3.72,0.022545455,2.788648373,42,91,49,Miryang,Eastern Asia
TN34,Asia,Block8,,38.3,,2.95112259,43,85,42,Miryang,Eastern Asia
TN35,Asia,Block8,142,32.9,0.231690141,2.812280987,42,91,49,Miryang,Eastern Asia
TN36,Asia,Block8,183,30.8,0.168306011,3.338106633,42,88,46,Miryang,Eastern Asia
TN37,Asia,Block8,111,33.8,0.304504505,2.894995133,42,91,49,Miryang,Eastern Asia
TN38,Asia,Block8,314,32.5,0.103503185,2.912719593,42,87,45,Miryang,Eastern Asia
TN39,Asia,Block8,204,44.3,0.217156863,2.97770928,42,85,43,Miryang,Eastern Asia
TN40,Asia,Block8,165.5,18.5,0.111782477,2.912719593,42,84,42,Miryang,Eastern Asia
TN41,Asia,Block8,210,32.5,0.154761905,3.078147887,42,87,45,Miryang,Eastern Asia
TN42,Asia,Block8,,50.5,,3.042698967,42,85,43,Miryang,Eastern Asia
TN43,Asia,Block8,194,39.5,0.203608247,2.894995133,42,85,43,Miryang,Eastern Asia
TN44,Asia,Block8,213,24.4,0.114553991,2.78274022,42,85,43,Miryang,Eastern Asia
TN45,Asia,Block8,226,44.3,0.196017699,2.99543374,42,85,43,Miryang,Eastern Asia
TN46,Asia,Block8,142,33.6,0.236619718,3.70441214,42,85,43,Miryang,Eastern Asia
TN47,Asia,Block8,142,38.7,0.272535211,3.237668027,42,85,43,Miryang,Eastern Asia
TN48,Asia,Block8,,30.2,,2.658669,43,85,42,Miryang,Eastern Asia
TN49,Asia,Block8,248,55.3,0.222983871,2.954076667,43,85,42,Miryang,Eastern Asia
TN50,Asia,Block8,192.5,38.8,0.201558442,3.06633158,42,85,43,Miryang,Eastern Asia
TN51,Asia,Block8,168,30,0.178571429,2.971801127,42,85,43,Miryang,Eastern Asia
TN52,Asia,Block8,186,42.8,0.230107527,2.72956684,42,88,46,Miryang,Eastern Asia
TN53,Asia,Block8,180.5,42.6,0.23601108,2.81818914,42,81,39,Miryang,Eastern Asia
TN54,Asia,Block8,148,37.6,0.254054054,2.930444053,42,85,43,Miryang,Eastern Asia
TN55,Asia,Block8,176,30.8,0.175,3.001341893,42,85,43,Miryang,Eastern Asia
TN56,Asia,Block8,188.5,26.3,0.139522546,3.036790813,38,84,46,Miryang,Eastern Asia
TN57,Asia,Block8,146,38.8,0.265753425,3.397188167,45,87,42,Miryang,Eastern Asia
TN58,Asia,Block8,148.5,33.2,0.223569024,2.85363806,46,88,42,Miryang,Eastern Asia
TN59,Asia,Block8,144,30.5,0.211805556,2.510965167,41,88,47,Miryang,Eastern Asia
TN60,Asia,Block8,187,39.3,0.210160428,2.88908698,42,88,46,Miryang,Eastern Asia
TN61,Asia,Block8,190.5,42.4,0.222572178,3.001341893,41,88,47,Miryang,Eastern Asia
