Accession,Continent,Block,Number_locules_per_capsule
T001,Africa,Block1,Four
T003,Africa,Block1,Four
T004,Africa,Block1,Four
T005,Africa,Block1,Four
T006,Africa,Block1,Four
T007,Africa,Block1,Four
T009,Africa,Block1,Four
T010,Africa,Block1,Four
T011,Africa,Block1,Four
T012,Africa,Block1,Four
T013,Africa,Block1,Four
T014,Africa,Block1,Four
T015,Africa,Block1,Four
T016,Africa,Block1,Four
T017,Africa,Block1,Four
T018,Africa,Block1,Four
T019,Africa,Block1,Four
T020,Africa,Block1,Four
T021,Africa,Block1,Four
T022,Africa,Block1,Four
T023,Africa,Block1,Four
T024,Africa,Block1,Four
T025,Africa,Block1,Four
T026,Africa,Block1,Four
T027,Africa,Block1,Four
T028,Africa,Block1,Four
T029,Africa,Block1,Four
T030,Africa,Block1,Four
T031,Africa,Block1,Four
T032,Africa,Block1,Four
T033,Africa,Block1,Four
T034,Africa,Block1,Four
T035,Africa,Block1,Four
T036,Africa,Block1,Four
T037,Africa,Block1,Four
T038,Africa,Block1,Four
T039,Africa,Block1,Four
T040,Africa,Block1,Four
T041,Africa,Block1,Four
T042,Africa,Block1,Four
T043,Africa,Block1,Four
T044,Africa,Block1,Four
T045,Africa,Block1,Four
T046,Africa,Block1,Four
T047,Africa,Block1,Four
T048,Africa,Block1,Four
T049,Africa,Block1,Four
T050,Africa,Block1,Four
T051,Africa,Block1,Four
T052,Africa,Block1,Four
T053,Africa,Block1,Four
T054,Africa,Block1,Four
T055,Africa,Block1,Four
T056,Africa,Block1,Four
T057,Africa,Block1,Four
T058,Africa,Block1,Four
T059,Africa,Block1,Four
T060,Africa,Block1,Four
T061,Africa,Block2,Four
T062,Africa,Block2,Four
T063,Africa,Block2,Four
T064,Africa,Block2,Four
T065,Africa,Block2,Four
T066,Africa,Block2,Four
T067,Africa,Block2,Four
T068,Africa,Block2,Four
T069,Africa,Block2,Four
T070,Africa,Block2,Four
T071,Africa,Block2,Four
T072,Africa,Block2,Four
T073,Africa,Block2,Four
T074,Africa,Block2,Four
T075,Africa,Block2,Four
T076,Africa,Block2,Four
T077,Africa,Block2,Four
T078,Africa,Block2,Four
T079,Africa,Block2,Four
T080,Africa,Block2,Four
T081,Africa,Block2,Four
T082,Africa,Block2,Four
T083,Africa,Block2,Four
T084,Africa,Block2,Four
T085,Africa,Block2,Four
T087,Africa,Block2,Four
T088,Africa,Block2,Four
T089,Africa,Block2,Four
T090,Africa,Block2,Four
T091,Africa,Block2,Four
T092,Africa,Block2,Four
T093,Africa,Block2,Four
T094,Africa,Block2,Four
T095,Africa,Block2,Four
T096,Africa,Block2,Four
T097,Africa,Block2,Four
T098,Africa,Block2,Four
T099,Africa,Block2,Four
T100,Africa,Block2,Four
T101,Africa,Block2,Four
T102,Africa,Block2,Four
T103,Africa,Block2,Four
T104,Africa,Block2,Four
T105,Africa,Block2,Four
T106,Africa,Block2,Four
T108,Africa,Block2,Four
T109,Africa,Block2,Eight
T110,Africa,Block2,Four
T111,Africa,Block2,Four
T112,Africa,Block2,Four
T113,Africa,Block2,Four
T114,Africa,Block2,Four
T115,Africa,Block2,Four
T116,Africa,Block2,Four
T118,Africa,Block2,Four
T119,Africa,Block2,Four
T120,Africa,Block2,Four
T121,Africa,Block2,Four
T122,Africa,Block2,Four
T123,Africa,Block3,Four
T124,Africa,Block3,Four
T125,Africa,Block3,Four
T126,Africa,Block3,Four
T128,#N/A,#N/A,Four
T129,Africa,Block3,Four
T130,Africa,Block3,Four
T131,Africa,Block3,Four
T132,Africa,Block3,Four
T133,Africa,Block3,Four
T134,Africa,Block3,Four
T135,Africa,Block3,Four
T136,Africa,Block3,Four
T137,Africa,Block3,Four
T138,Africa,Block3,Four
T139,Africa,Block3,Four
T140,Africa,Block3,Four
T141,Africa,Block3,Four
T142,Africa,Block3,Four
T143,Africa,Block3,Four
T145,Africa,Block3,Four
T146,Africa,Block3,Four
T147,Africa,Block3,Four
T148,Africa,Block3,Four
T149,Africa,Block3,Four
T150,Africa,Block3,Four
T151,Africa,Block3,Four
T152,Africa,Block3,Four
T153,Africa,Block3,Four
T154,Africa,Block3,Four
T155,Africa,Block3,Four
T156,Africa,Block3,Four
T157,Africa,Block3,Four
T158,Africa,Block3,Four
T159,Africa,Block3,Four
T160,Africa,Block3,Four
T161,Africa,Block3,Four
T162,Africa,Block3,Four
T163,Africa,Block3,Four
T164,Africa,Block3,Four
T165,Africa,Block3,Four
T166,Africa,Block3,Four
T167,Africa,Block3,Four
T168,Africa,Block3,Four
T169,Africa,Block3,Four
T170,Africa,Block3,Four
T171,Africa,Block3,Four
T172,Africa,Block3,Four
T173,Africa,Block3,Four
T174,Africa,Block3,Four
T175,Africa,Block3,Four
T176,Africa,Block3,Four
T177,Africa,Block3,Four
T178,Africa,Block3,Four
T179,Africa,Block3,Four
T180,Africa,Block3,Four
T181,Africa,Block3,Four
T182,Africa,Block3,Four
T183,Africa,Block4,Four
T184,Africa,Block4,Four
T186,Africa,Block4,Four
T187,Africa,Block4,Four
T188,Africa,Block4,Four
T189,Africa,Block4,Four
T190,Africa,Block4,Four
T191,Africa,Block4,Four
T192,Africa,Block4,Four
T193,Africa,Block4,Four
T194,Africa,Block4,Four
T195,Africa,Block4,Four
T196,Africa,Block4,Four
T197,Africa,Block4,Four
T199,Africa,Block4,Four
T200,Africa,Block4,Four
T201,Africa,Block4,Four
T202,Africa,Block4,Four
T203,Africa,Block4,Four
T205,Africa,Block4,Four
T206,Africa,Block4,Four
T207,Africa,Block4,Four
T208,Africa,Block4,Four
T209,Africa,Block4,Four
T210,Africa,Block4,Four
T211,Africa,Block4,Four
T212,Africa,Block4,Four
T213,Africa,Block4,Four
T214,Africa,Block4,Four
T215,Africa,Block4,Four
T216,Africa,Block4,Four
TN01,Africa,Block4,Four
T217,Africa,Block4,Four
T218,Africa,Block4,Four
T219,Africa,Block4,Four
T220,Africa,Block4,Four
T221,Africa,Block4,Four
T222,Africa,Block4,Four
T224,Africa,Block4,Four
T225,Africa,Block4,Four
T227,Africa,Block4,Four
T228,Africa,Block4,Four
T229,Africa,Block4,Four
T231,Africa,Block4,Four
T232,Africa,Block4,Four
T233,Africa,Block4,Four
T234,Africa,Block4,Four
T236,Africa,Block4,Four
T237,Africa,Block4,Four
T238,Africa,Block4,Four
T239,Africa,Block4,Four
T240,Africa,Block4,Four
T241,Africa,Block4,Four
T242,Africa,Block4,Four
T243,Africa,Block4,Four
T244,Africa,Block5,Four
T245,Africa,Block5,Four
T246,Africa,Block5,Four
T247,Africa,Block5,Four
T248,Africa,Block5,Four
T249,Africa,Block5,Four
T250,Africa,Block5,Four
T251,Africa,Block5,Four
T252,Africa,Block5,Four
T253,Africa,Block5,Four
T254,Africa,Block5,Four
T255,Africa,Block5,Four
T256,Africa,Block5,Four
T257,Africa,Block5,Four
T258,Africa,Block5,Four
T259,Africa,Block5,Four
T261,Africa,Block5,Four
T262,Africa,Block5,Four
T263,Africa,Block5,Four
T264,Africa,Block5,Four
T265,Africa,Block5,Four
T266,Africa,Block5,Four
T268,Africa,Block5,Four
T269,Africa,Block5,Four
T270,Africa,Block5,Four
T271,Africa,Block5,Four
T272,Africa,Block5,Four
T273,Africa,Block5,Four
T274,Africa,Block5,Four
T275,Africa,Block5,Four
T276,Africa,Block5,Four
T278,Africa,Block5,Four
T279,Africa,Block5,Four
T280,Africa,Block5,Four
T281,Africa,Block5,Four
T282,Africa,Block5,Four
T283,Africa,Block5,Four
T284,Africa,Block5,Four
T285,Africa,Block5,Four
T286,Africa,Block5,Four
T287,Africa,Block5,Four
T288,Africa,Block5,Four
T289,Africa,Block5,Four
T290,Africa,Block5,Four
T291,Africa,Block5,Four
T292,Africa,Block5,Four
T293,Africa,Block5,Four
T357,Asia,Block5,Four
T358,Asia,Block5,Four
T359,Asia,Block5,Four
T360,Asia,Block5,Four
T361,Asia,Block5,Four
T362,Asia,Block5,Four
T363,Asia,Block5,Four
T364,Asia,Block5,Four
T365,Asia,Block5,Four
T366,Asia,Block5,Four
T324,Asia,Block5,Eight
T325,Asia,Block5,Four
T326,Asia,Block6,Four
T327,Asia,Block6,Four
T328,Asia,Block6,Four
T329,Africa,Block6,Four
T330,Africa,Block6,Four
T331,Africa,Block6,Four
T304,Africa,Block6,Four
T305,Africa,Block6,Four
T306,Asia,Block6,Four
T307,Asia,Block6,Four
T308,Asia,Block6,Four
T309,Asia,Block6,Four
T310,Asia,Block6,Four
T311,Asia,Block6,Four
T312,Asia,Block6,Four
T313,Asia,Block6,Four
T347,Asia,Block6,Four
T348,Asia,Block6,Four
T349,Asia,Block6,Four
T350,Asia,Block6,Four
T351,Asia,Block6,Four
T352,Asia,Block6,Four
T353,Asia,Block6,Four
T354,Asia,Block6,Four
T355,Asia,Block6,Four
T356,Asia,Block6,Four
T367,Asia,Block6,Four
T368,Asia,Block6,Four
T369,Asia,Block6,Four
T370,Asia,Block6,Four
T371,Asia,Block6,Four
T372,Asia,Block6,Four
T342,Asia,Block6,Four
T343,Asia,Block6,Four
T344,Asia,Block6,Four
T345,Asia,Block6,Four
T346,Asia,Block6,Four
T314,Asia,Block6,Four
T315,Asia,Block6,Four
T316,Asia,Block6,Four
T317,Asia,Block6,Four
T318,Asia,Block6,Four
T319,Others,Block6,Four
T320,Others,Block6,Four
T321,Others,Block6,Four
T322,Others,Block6,Four
T373,Asia,Block6,Four
T374,Asia,Block6,Four
T375,Asia,Block6,Four
T376,Asia,Block6,Four
T377,Asia,Block6,Four
T378,Asia,Block6,Four
T379,Asia,Block6,Four
T380,Asia,Block6,Four
T381,Asia,Block6,Four
T332,Asia,Block6,Four
T333,Asia,Block6,Four
T334,Asia,Block6,Four
T335,Asia,Block6,Four
T336,Others,Block7,Four
T337,Others,Block7,Four
T338,Others,Block7,Four
T339,Others,Block7,Four
T340,Others,Block7,Four
T341,Others,Block7,Four
T294,Others,Block7,Four
T295,Others,Block7,Four
T296,Others,Block7,Four
T297,Others,Block7,Four
T298,Others,Block7,Four
T299,Others,Block7,Four
T300,Others,Block7,Four
T301,Others,Block7,Four
T302,Others,Block7,Four
T303,Others,Block7,Four
T382,Others,Block7,Four
T383,Others,Block7,Four
T384,Others,Block7,Four
T385,Others,Block7,Four
T386,Others,Block7,Four
T387,Others,Block7,Four
T388,Others,Block7,Four
T389,Others,Block7,Four
T390,Others,Block7,Four
T391,Others,Block7,Four
T392,Others,Block7,Four
T393,Others,Block7,Four
TN02,Asia,Block7,Four
TN03,Asia,Block7,Four
TN04,Asia,Block7,Four
T428,Asia,Block7,Four
T425,Asia,Block7,Four
T424,Asia,Block7,Four
TN05,Asia,Block7,Four
T405,Asia,Block7,Four
T426,Asia,Block7,Four
T417,Asia,Block7,Four
T416,Asia,Block7,Four
T427,Asia,Block7,Four
T418,Asia,Block7,Six
T421,Asia,Block7,Four
T420,Asia,Block7,Four
T422,Asia,Block7,Four
T406,Asia,Block7,Four
T419,Asia,Block7,Four
T423,Asia,Block7,Four
TN08,Asia,Block7,Four
TN09,Asia,Block7,Four
TN10,Asia,Block7,Four
TN11,Asia,Block7,Four
TN12,Asia,Block7,Four
TN13,Asia,Block7,Four
TN14,Asia,Block7,Four
TN15,Asia,Block7,Four
TN16,Asia,Block8,Four
TN17,Asia,Block8,Four
TN18,Asia,Block8,Four
T403,Asia,Block8,Four
TN19,Asia,Block8,Four
TN20,Asia,Block8,Four
TN21,Asia,Block8,Four
TN22,Asia,Block8,Four
TN23,Asia,Block8,Four
TN24,Asia,Block8,Four
TN25,Asia,Block8,Four
TN26,Asia,Block8,Four
TN27,Asia,Block8,Four
TN28,Asia,Block8,Four
TN29,Asia,Block8,Four
TN30,Asia,Block8,Four
TN31,Asia,Block8,Four
TN32,Asia,Block8,Four
TN33,Asia,Block8,Four
TN34,Asia,Block8,Four
TN35,Asia,Block8,Four
TN36,Asia,Block8,Four
TN37,Asia,Block8,Four
TN38,Asia,Block8,Four
T398,Asia,Block8,Four
TN39,Asia,Block8,Four
TN40,Asia,Block8,Four
TN41,Asia,Block8,Four
TN42,Asia,Block8,Four
TN43,Asia,Block8,Four
T404,Asia,Block8,Four
TN44,Asia,Block8,Four
TN45,Asia,Block8,Four
TN46,Asia,Block8,Four
TN47,Asia,Block8,Four
TN48,Asia,Block8,Four
T394,Asia,Block8,Four
TN49,Asia,Block8,Four
T415,Asia,Block8,Four
TN50,Asia,Block8,Four
T402,Asia,Block8,Four
TN51,Asia,Block8,Four
TN52,Asia,Block8,Four
TN53,Asia,Block8,Four
T401,Asia,Block8,Four
TN54,Asia,Block8,Four
T400,Asia,Block8,Four
TN55,Asia,Block8,Four
TN56,Asia,Block8,Four
T413,Asia,Block8,Four
T414,Asia,Block8,Four
T399,Asia,Block8,Four
TN57,Asia,Block8,Four
T395,Asia,Block8,Four
T397,Asia,Block8,Four
T396,Asia,Block8,Four
TN58,Asia,Block8,Four
TN59,Asia,Block8,Four
TN60,Asia,Block8,Four
TN61,Asia,Block8,Four
T407,Asia,Block8,Four
T408,Asia,Block8,Four
T410,Asia,Block8,Four
T411,Asia,Block8,Four
T409,Asia,Block8,Four
T412,Asia,Block8,Four
